Accuracy,pad,file
0.306763285,26, 60_second_0.001_alpha_6_fold_25_n_1_k_final_score.csv
0.330917874,27, 60_second_0.001_alpha_6_fold_25_n_2_k_final_score.csv
0.381642512,28, 60_second_0.001_alpha_6_fold_25_n_3_k_final_score.csv
0.335748792,29, 60_second_0.001_alpha_6_fold_25_n_4_k_final_score.csv
0.369565217,30, 60_second_0.001_alpha_6_fold_25_n_5_k_final_score.csv
0.359903382,31, 60_second_0.001_alpha_6_fold_25_n_6_k_final_score.csv
0.345410628,32, 60_second_0.001_alpha_6_fold_25_n_7_k_final_score.csv
0.362318841,33, 60_second_0.001_alpha_6_fold_25_n_8_k_final_score.csv
0.396135266,34, 60_second_0.001_alpha_6_fold_25_n_9_k_final_score.csv
0.483290488,60, 60_second_0.001_alpha_6_fold_50_n_10_k_final_score.csv
0.300771208,51, 60_second_0.001_alpha_6_fold_50_n_1_k_final_score.csv
0.385604113,52, 60_second_0.001_alpha_6_fold_50_n_2_k_final_score.csv
0.411311054,53, 60_second_0.001_alpha_6_fold_50_n_3_k_final_score.csv
0.380462725,54, 60_second_0.001_alpha_6_fold_50_n_4_k_final_score.csv
0.375321337,55, 60_second_0.001_alpha_6_fold_50_n_5_k_final_score.csv
0.367609254,56, 60_second_0.001_alpha_6_fold_50_n_6_k_final_score.csv
0.462724936,57, 60_second_0.001_alpha_6_fold_50_n_7_k_final_score.csv
0.393316195,58, 60_second_0.001_alpha_6_fold_50_n_8_k_final_score.csv
0.390745501,59, 60_second_0.001_alpha_6_fold_50_n_9_k_final_score.csv
0.740412979,110, 60_second_0.001_alpha_7_fold_100_n_10_k_final_score.csv
0.17699115,101, 60_second_0.001_alpha_7_fold_100_n_1_k_final_score.csv
0.492625369,102, 60_second_0.001_alpha_7_fold_100_n_2_k_final_score.csv
0.510324484,103, 60_second_0.001_alpha_7_fold_100_n_3_k_final_score.csv
0.581120944,104, 60_second_0.001_alpha_7_fold_100_n_4_k_final_score.csv
0.542772861,105, 60_second_0.001_alpha_7_fold_100_n_5_k_final_score.csv
0.637168142,106, 60_second_0.001_alpha_7_fold_100_n_6_k_final_score.csv
0.675516224,107, 60_second_0.001_alpha_7_fold_100_n_7_k_final_score.csv
0.613569322,108, 60_second_0.001_alpha_7_fold_100_n_8_k_final_score.csv
0.690265487,109, 60_second_0.001_alpha_7_fold_100_n_9_k_final_score.csv
0.300699301,11, 60_second_0.001_alpha_7_fold_10_n_1_k_final_score.csv
0.286713287,12, 60_second_0.001_alpha_7_fold_10_n_2_k_final_score.csv
0.277389277,13, 60_second_0.001_alpha_7_fold_10_n_3_k_final_score.csv
0.27972028,14, 60_second_0.001_alpha_7_fold_10_n_4_k_final_score.csv
0.296037296,15, 60_second_0.001_alpha_7_fold_10_n_5_k_final_score.csv
0.335664336,16, 60_second_0.001_alpha_7_fold_10_n_6_k_final_score.csv
0.291375291,17, 60_second_0.001_alpha_7_fold_10_n_7_k_final_score.csv
0.300699301,18, 60_second_0.001_alpha_7_fold_10_n_8_k_final_score.csv
0.282051282,19, 60_second_0.001_alpha_7_fold_10_n_9_k_final_score.csv
0.344339623,25, 60_second_0.001_alpha_7_fold_15_n_10_k_final_score.csv
0.339622642,16, 60_second_0.001_alpha_7_fold_15_n_1_k_final_score.csv
0.29245283,17, 60_second_0.001_alpha_7_fold_15_n_2_k_final_score.csv
0.294811321,18, 60_second_0.001_alpha_7_fold_15_n_3_k_final_score.csv
0.299528302,19, 60_second_0.001_alpha_7_fold_15_n_4_k_final_score.csv
0.287735849,20, 60_second_0.001_alpha_7_fold_15_n_5_k_final_score.csv
0.316037736,21, 60_second_0.001_alpha_7_fold_15_n_6_k_final_score.csv
0.299528302,22, 60_second_0.001_alpha_7_fold_15_n_7_k_final_score.csv
0.311320755,23, 60_second_0.001_alpha_7_fold_15_n_8_k_final_score.csv
0.327830189,24, 60_second_0.001_alpha_7_fold_15_n_9_k_final_score.csv
0.388888889,35, 60_second_0.001_alpha_7_fold_25_n_10_k_final_score.csv
0.34057971,26, 60_second_0.001_alpha_7_fold_25_n_1_k_final_score.csv
0.34057971,27, 60_second_0.001_alpha_7_fold_25_n_2_k_final_score.csv
0.34057971,28, 60_second_0.001_alpha_7_fold_25_n_3_k_final_score.csv
0.311594203,29, 60_second_0.001_alpha_7_fold_25_n_4_k_final_score.csv
0.384057971,30, 60_second_0.001_alpha_7_fold_25_n_5_k_final_score.csv
0.347826087,31, 60_second_0.001_alpha_7_fold_25_n_6_k_final_score.csv
0.381642512,32, 60_second_0.001_alpha_7_fold_25_n_7_k_final_score.csv
0.393719807,33, 60_second_0.001_alpha_7_fold_25_n_8_k_final_score.csv
0.393719807,34, 60_second_0.001_alpha_7_fold_25_n_9_k_final_score.csv
0.511568123,60, 60_second_0.001_alpha_7_fold_50_n_10_k_final_score.csv
0.285347044,51, 60_second_0.001_alpha_7_fold_50_n_1_k_final_score.csv
0.367609254,52, 60_second_0.001_alpha_7_fold_50_n_2_k_final_score.csv
0.403598972,53, 60_second_0.001_alpha_7_fold_50_n_3_k_final_score.csv
0.416452442,54, 60_second_0.001_alpha_7_fold_50_n_4_k_final_score.csv
0.372750643,55, 60_second_0.001_alpha_7_fold_50_n_5_k_final_score.csv
